AirForce Delta (USA),"Deadly Skies (Europe) (En,Fr,De,Es,It)"
Daytona USA (USA),"Daytona USA 2001 (Europe) (En,Fr,De,Es)"
Draconus - Cult of the Wyrm (USA),"Dragons Blood (Europe) (En,Fr,De)"
Ducati World - Racing Challenge (USA),"Ducati World (Europe) (En,Fr,De,It)"
"Expendable (USA) (En,Fr,De,Es,It)","Millennium Soldier - Expendable (Europe) (En,Fr,De,Es,It)"
Jet Grind Radio (USA),"Jet Set Radio (Europe) (En,Fr,De,Es)"
"Next Tetris, The - On-Line Edition (USA)","Next Tetris, The (Europe)"
"Omikron - The Nomad Soul (USA) (En,Fr,De,Es,It)","Nomad Soul, The (Europe) (En,Fr,De,Es,It)"
Project Justice (USA),Project Justice - Rival Schools 2 (Europe)
Rippin' Riders (USA),Snow Surfers (Europe)
"Tennis 2K2 (USA) (En,Ja,Fr,De,Es) (Rev A)","Virtua Tennis 2 - Sega Professional Tennis (Europe) (En,Fr,De,Es)"
"Test Drive Le Mans (USA) (En,Fr,Es)","Le Mans 24 Hours (Europe) (En,Fr,Es)"
"Test Drive V-Rally (USA) (En,Fr,De)","V-Rally 2 - Expert Edition (Europe) (En,Fr,De)"
Tokyo Xtreme Racer (USA),Tokyo Highway Challenge (Europe)
Tony Hawk's Pro Skater (USA),Tony Hawk's Skateboarding (Europe)
"Virtua Athlete 2000 (USA) (En,Fr,De,Es)","Virtua Athlete 2K (Europe) (En,Fr,De,Es)"
Virtua Tennis (USA),"Virtua Tennis - Sega Professional Tennis (Europe) (En,Fr,De,Es)"
Xtreme Sports (USA),"Sega Extreme Sports (Europe) (En,Fr,De,Es)"