Redump Game Name (Region Dupes),Dupe 1,Dupe 2,Dupe 3,Dupe 4,Dupe 5,Dupe 6,Notes
Bad Boys - Miami Takedown (USA).iso,"Bad Boys II (Europe) (En,Fr,De,Es,It).iso",,,,,,
Bust-A-Move 3000 (USA).iso,"Super Bust-A-Move All Stars (Europe) (En,Fr,De,Es,It).iso",,,,,,
Capcom vs. SNK 2 EO (USA).iso,Capcom vs. SNK 2 EO - Millionaire Fighting 2001 (Europe).iso,,,,,,
Chibi-Robo! Plug into Adventure! (USA).iso,"Chibi-Robo! (Europe) (En,Fr,De,Es,It).iso",,,,,,
Conflict - Desert Storm II - Back to Baghdad (USA).iso,"Conflict - Desert Storm II (Europe) (En,Fr,De,Es,It).iso",,,,,,
"Dakar 2 - The World's Ultimate Rally (USA) (En,Fr,De,Es,It).iso","Dakar 2 (Europe) (En,Fr,De,Es,It).iso",,,,,,
Dance Dance Revolution - Mario Mix (USA).iso,"Dancing Stage Mario Mix (Europe) (En,Fr,De,Es,It).iso",,,,,,
Defender (USA).iso,"Defender - For All Mankind (Europe) (En,Fr,De,Es,It).iso",,,,,,
"Disney's Donald Duck - Goin' Quackers (USA) (En,Fr).iso","Disney's Donald Duck - Quack Attack (Europe) (En,Fr,De,Es,It).iso",,,,,,
"Disney's PK - Out of the Shadows (USA) (En,Fr,De,It).iso","Disney's Donald Duck - Phantomias - Platyrhynchos Kineticus (Europe) (En,Fr,De,Es,It).iso",,,,,,
"Disney's Tarzan - Untamed (USA) (En,Fr).iso","Disney's Tarzan - Freeride (Europe) (En,Fr,De,Es,It).iso",,,,,,
Dragon's Lair 3D - Return to the Lair (USA).iso,"Dragon's Lair 3D - Special Edition (Europe) (En,Fr,De,Es,It).iso",,,,,,
Egg Mania - Eggstreme Madness (USA).iso,"Eggo Mania (Europe) (En,Fr,De).iso",,,,,,
ESPN International Winter Sports 2002 (USA).iso,"ESPN International Winter Sports (Europe) (En,Fr,De,It).iso",,,,,,
FIFA Soccer 06 (USA).iso,FIFA 06 (Europe).iso,,,,,,
"FIFA Soccer 07 (USA) (En,Es).iso",FIFA 07 (Europe).iso,,,,,,
FIFA Soccer 2003 (USA).iso,FIFA Football 2003 (Europe).iso,,,,,,
FIFA Soccer 2004 (USA).iso,FIFA Football 2004 (Europe).iso,,,,,,
"FIFA Soccer 2005 (USA) (En,Es).iso",FIFA Football 2005 (Europe).iso,,,,,,
Freestyle Street Soccer (USA).iso,"Urban Freestyle Soccer (Europe) (En,Fr,De,Es,It).iso",,,,,,
"Harry Potter and the Sorcerer's Stone (USA) (En,Es).iso","Harry Potter and the Philosopher's Stone (Europe) (En,Nl).iso","Harry Potter and the Philosopher's Stone (Europe) (En,Sv).iso",,,,,
Nickelodeon Avatar - The Last Airbender (USA).iso,"Nickelodeon Avatar - The Legend of Aang (Europe) (En,Fr,Nl).iso",,,,,,
Nicktoons Unite! (USA).iso,"Nickelodeon SpongeBob SquarePants and Friends Unite! (Europe) (En,Fr,De,Nl).iso",,,,,,
R-Racing Evolution (USA).iso,"R-Racing (Europe) (En,Fr,De,Es,It).iso",,,,,,
RedCard 20-03 (USA).iso,"RedCard (Europe) (En,Fr,De,Es,It).iso",,,,,,
Road Trip - The Arcade Edition (USA).iso,"Gadget Racers (Europe) (En,Fr,De,Es,It).iso",,,,,,
Spirits & Spells (USA).iso,"Castleween (Europe) (En,Fr,De,Es,It).iso",,,,,,
Super Mario Strikers (USA).iso,"Mario Smash Football (Europe) (En,Fr,De,Es,It).iso",,,,,,
Swingerz Golf (USA).iso,"Ace Golf (Europe) (En,Fr).iso",,,,,,
Virtua Striker 2002 (USA).iso,"Virtua Striker 3 Ver. 2002 (Europe) (En,Fr,De,Es,It).iso",,,,,,
WTA Tour Tennis (USA).iso,Pro Tennis WTA Tour (Europe).iso,,,,,,
X2 - Wolverine's Revenge (USA).iso,X-Men 2 - Wolverine's Revenge (Europe).iso,,,,,,